LBE,CONGRESSIONAL_DISTRICT_CODE,LEGISLATIVE_DISTRICT_CODE,PRECINCT,PARTY,POLLS,EARLY_VOING,ABSENTEE,PROVISIONAL,ELIGIBLE_VOTERS
Allegany,06,01B,004-004,REPUBLICAN,257,51,41,13,589
Allegany,06,01B,004-004,UNAFFILIATED,42,8,16,10,222
Allegany,06,01B,004-004,WORKING CLASS PARTY,0,0,1,0,2
Allegany,06,01B,004-005,DEMOCRATIC,46,11,27,0,255
Allegany,06,01B,004-005,GREEN,1,0,0,0,3
Allegany,06,01B,004-005,LIBERTARIAN,0,0,0,0,4
Allegany,06,01B,004-005,OTHER PARTIES,1,0,1,0,11
Allegany,06,01B,004-005,REPUBLICAN,116,6,12,3,290
Allegany,06,01B,004-005,UNAFFILIATED,32,6,9,0,187
Allegany,06,01B,004-005,WORKING CLASS PARTY,0,0,0,0,0
Allegany,06,01B,004-008,DEMOCRATIC,101,18,77,5,403
Allegany,06,01B,004-008,GREEN,0,0,0,0,1
Allegany,06,01B,004-008,LIBERTARIAN,2,0,0,1,10
Allegany,06,01B,004-008,OTHER PARTIES,2,0,1,0,13
Allegany,06,01B,004-008,REPUBLICAN,192,60,38,7,548
Allegany,06,01B,004-008,UNAFFILIATED,51,14,10,1,268
Allegany,06,01B,004-008,WORKING CLASS PARTY,1,0,0,0,3
Allegany,06,01B,005-004,DEMOCRATIC,80,22,56,1,357
Allegany,06,01B,005-004,GREEN,0,0,0,0,0
Allegany,06,01B,005-004,LIBERTARIAN,0,0,0,0,4
Allegany,06,01B,005-004,OTHER PARTIES,5,0,0,0,14
Allegany,06,01B,005-004,REPUBLICAN,150,32,37,1,421
Allegany,06,01B,005-004,UNAFFILIATED,43,7,10,4,238
Allegany,06,01B,005-004,WORKING CLASS PARTY,0,0,0,0,1
Allegany,06,01B,005-006,DEMOCRATIC,47,8,8,1,139
Allegany,06,01B,005-006,GREEN,0,0,0,0,0
Allegany,06,01B,005-006,LIBERTARIAN,0,0,0,0,4
Allegany,06,01B,005-006,OTHER PARTIES,3,0,0,0,6
Allegany,06,01B,005-006,REPUBLICAN,132,11,12,2,265
Allegany,06,01B,005-006,UNAFFILIATED,26,2,2,0,106
Allegany,06,01B,005-006,WORKING CLASS PARTY,1,0,0,0,4
Allegany,06,01B,006-001,DEMOCRATIC,136,41,82,8,455
Allegany,06,01B,006-001,GREEN,0,0,1,0,2
Allegany,06,01B,006-001,LIBERTARIAN,4,1,2,0,11
Allegany,06,01B,006-001,OTHER PARTIES,3,0,0,0,8
Allegany,06,01B,006-001,REPUBLICAN,137,48,43,2,416
Allegany,06,01B,006-001,UNAFFILIATED,55,13,22,4,246
Allegany,06,01B,006-001,WORKING CLASS PARTY,0,0,0,0,1
Allegany,06,01B,006-003,DEMOCRATIC,49,30,36,2,237
Allegany,06,01B,006-003,GREEN,0,0,1,0,4
Allegany,06,01B,006-003,LIBERTARIAN,1,0,1,0,5
Allegany,06,01B,006-003,OTHER PARTIES,1,0,0,0,2
Allegany,06,01B,006-003,REPUBLICAN,81,29,19,2,237
Allegany,06,01B,006-003,UNAFFILIATED,24,10,10,2,127
Allegany,06,01B,006-003,WORKING CLASS PARTY,0,0,0,0,1
Allegany,06,01B,006-005,DEMOCRATIC,118,41,65,6,372
Allegany,06,01B,006-005,GREEN,2,0,0,0,3
Allegany,06,01B,006-005,LIBERTARIAN,0,1,0,0,4
Allegany,06,01B,006-005,OTHER PARTIES,1,0,0,0,9
Allegany,06,01B,006-005,REPUBLICAN,163,57,31,6,414
Allegany,06,01B,006-005,UNAFFILIATED,41,9,20,0,225
Allegany,06,01B,006-005,WORKING CLASS PARTY,0,0,0,0,3
Allegany,06,01B,006-006,DEMOCRATIC,107,25,54,3,380
Allegany,06,01B,006-006,GREEN,0,0,0,0,2
Allegany,06,01B,006-006,LIBERTARIAN,0,0,0,0,8
Allegany,06,01B,006-006,OTHER PARTIES,6,0,2,0,15
Allegany,06,01B,006-006,REPUBLICAN,320,44,42,1,723
Allegany,06,01B,006-006,UNAFFILIATED,51,8,7,3,255
Allegany,06,01B,006-006,WORKING CLASS PARTY,0,0,0,0,2
Allegany,06,01B,007-001,DEMOCRATIC,128,18,53,4,389
Allegany,06,01B,007-001,GREEN,0,0,0,0,0
Allegany,06,01B,007-001,LIBERTARIAN,1,0,0,0,7
Allegany,06,01B,007-001,OTHER PARTIES,5,1,1,1,14
Allegany,06,01B,007-001,REPUBLICAN,354,42,43,4,817
Allegany,06,01B,007-001,UNAFFILIATED,68,15,16,3,282
Allegany,06,01B,007-001,WORKING CLASS PARTY,1,0,0,0,2
Allegany,06,01A,007-002,DEMOCRATIC,137,21,63,4,414
Allegany,06,01A,007-002,GREEN,2,0,0,0,2
Allegany,06,01A,007-002,LIBERTARIAN,2,0,0,0,5
Allegany,06,01A,007-002,OTHER PARTIES,5,0,0,0,15
Allegany,06,01A,007-002,REPUBLICAN,447,35,44,2,897
Allegany,06,01A,007-002,UNAFFILIATED,73,7,12,3,249
Allegany,06,01A,007-002,WORKING CLASS PARTY,0,0,0,0,1
Allegany,06,01A,008-000,DEMOCRATIC,113,9,73,1,427
Allegany,06,01A,008-000,GREEN,0,0,1,0,2
Allegany,06,01A,008-000,LIBERTARIAN,3,1,1,0,8
Allegany,06,01A,008-000,OTHER PARTIES,2,0,0,0,18
Allegany,06,01A,008-000,REPUBLICAN,516,31,64,8,1211
Allegany,06,01A,008-000,UNAFFILIATED,90,6,15,3,409
Allegany,06,01A,008-000,WORKING CLASS PARTY,0,0,0,0,1
Allegany,06,01A,009-000,DEMOCRATIC,32,2,18,0,129
Allegany,06,01A,009-000,GREEN,0,0,0,0,0
Allegany,06,01A,009-000,LIBERTARIAN,2,0,1,0,6
Allegany,06,01A,009-000,OTHER PARTIES,2,0,0,0,4
Allegany,06,01A,009-000,REPUBLICAN,238,6,32,3,524
Allegany,06,01A,009-000,UNAFFILIATED,30,0,2,0,142
Allegany,06,01A,009-000,WORKING CLASS PARTY,0,0,0,0,1
Allegany,06,01A,010-000,DEMOCRATIC,50,4,25,3,177
Allegany,06,01A,010-000,GREEN,0,0,0,0,0
Allegany,06,01A,010-000,LIBERTARIAN,0,0,1,0,4
Allegany,06,01A,010-000,OTHER PARTIES,0,0,0,0,4
Allegany,06,01A,010-000,REPUBLICAN,395,18,58,4,876
Allegany,06,01A,010-000,UNAFFILIATED,26,0,7,1,186
Allegany,06,01A,010-000,WORKING CLASS PARTY,0,0,0,0,0
Allegany,06,01B,011-000,DEMOCRATIC,113,11,60,1,291
Allegany,06,01B,011-000,GREEN,0,0,0,0,1
Allegany,06,01B,011-000,LIBERTARIAN,2,0,1,1,5
Allegany,06,01B,011-000,OTHER PARTIES,0,1,1,0,3
Allegany,06,01B,011-000,REPUBLICAN,171,19,27,4,368
Allegany,06,01B,011-000,UNAFFILIATED,52,4,8,3,151
Allegany,06,01B,011-000,WORKING CLASS PARTY,0,0,0,0,0
Allegany,06,01B,012-000,DEMOCRATIC,217,27,99,38,630
Allegany,06,01B,012-000,GREEN,1,0,0,0,4
Allegany,06,01B,012-000,LIBERTARIAN,5,0,1,1,13
Allegany,06,01B,012-000,OTHER PARTIES,5,1,1,2,22
Allegany,06,01B,012-000,REPUBLICAN,410,47,106,18,1012
Allegany,06,01B,012-000,UNAFFILIATED,96,8,29,20,418
Allegany,06,01B,012-000,WORKING CLASS PARTY,0,0,0,0,6
Allegany,06,01B,013-000,DEMOCRATIC,89,3,38,2,290
Allegany,06,01B,013-000,GREEN,0,0,0,0,1
Allegany,06,01B,013-000,LIBERTARIAN,0,0,0,0,0
Allegany,06,01B,013-000,OTHER PARTIES,3,0,0,0,6
Allegany,06,01B,013-000,REPUBLICAN,412,31,46,10,866
Allegany,06,01B,013-000,UNAFFILIATED,75,5,15,1,271
Allegany,06,01B,013-000,WORKING CLASS PARTY,0,0,1,0,2
Allegany,06,01B,014-000,DEMOCRATIC,43,8,32,4,231
Allegany,06,01B,014-000,GREEN,0,0,1,0,3
Allegany,06,01B,014-000,LIBERTARIAN,3,0,0,0,7
Allegany,06,01B,014-000,OTHER PARTIES,2,0,0,0,8
Allegany,06,01B,014-000,REPUBLICAN,49,12,12,1,154
Allegany,06,01B,014-000,UNAFFILIATED,21,6,11,6,123
Allegany,06,01B,014-000,WORKING CLASS PARTY,0,0,0,0,2
Allegany,06,01C,016-001,DEMOCRATIC,71,13,51,4,278
Allegany,06,01C,016-001,GREEN,0,1,0,0,3
Allegany,06,01C,016-001,LIBERTARIAN,1,0,0,0,6
Allegany,06,01C,016-001,OTHER PARTIES,3,0,0,0,14
Allegany,06,01C,016-001,REPUBLICAN,392,77,50,11,858
Allegany,06,01C,016-001,UNAFFILIATED,58,9,9,1,243
Allegany,06,01C,016-001,WORKING CLASS PARTY,0,0,1,0,1
Allegany,06,01B,016-002,DEMOCRATIC,5,1,2,0,12
Allegany,06,01B,016-002,GREEN,0,0,0,0,0
Allegany,06,01B,016-002,LIBERTARIAN,0,0,0,0,0
Allegany,06,01B,016-002,OTHER PARTIES,1,0,0,0,1
Allegany,06,01B,016-002,REPUBLICAN,20,1,2,0,38
Allegany,06,01B,016-002,UNAFFILIATED,1,0,0,0,10
Allegany,06,01B,016-002,WORKING CLASS PARTY,0,0,0,0,0
Allegany,06,01B,018-000,DEMOCRATIC,82,9,27,2,230
Allegany,06,01B,018-000,GREEN,0,0,0,0,1
Allegany,06,01B,018-000,LIBERTARIAN,0,0,0,0,4
Allegany,06,01B,018-000,OTHER PARTIES,2,0,0,0,5
Allegany,06,01B,018-000,REPUBLICAN,446,36,68,10,968
Allegany,06,01B,018-000,UNAFFILIATED,34,2,9,0,188
Allegany,06,01B,018-000,WORKING CLASS PARTY,0,0,0,0,2
Allegany,06,01B,020-000,DEMOCRATIC,76,10,26,1,239
Allegany,06,01B,020-000,GREEN,0,0,0,0,2
Allegany,06,01B,020-000,LIBERTARIAN,0,0,0,0,2
Allegany,06,01B,020-000,OTHER PARTIES,2,2,0,0,13
Allegany,06,01B,020-000,REPUBLICAN,412,38,57,5,861
Allegany,06,01B,020-000,UNAFFILIATED,52,6,14,2,240
Allegany,06,01B,020-000,WORKING CLASS PARTY,0,0,0,0,2
Allegany,06,01C,021-000,DEMOCRATIC,41,5,30,2,150
Allegany,06,01C,021-000,GREEN,0,0,0,0,1
Allegany,06,01C,021-000,LIBERTARIAN,0,0,0,0,2
Allegany,06,01C,021-000,OTHER PARTIES,0,0,0,0,2
Allegany,06,01C,021-000,REPUBLICAN,264,42,18,0,500
Allegany,06,01C,021-000,UNAFFILIATED,34,3,5,0,136
Allegany,06,01C,021-000,WORKING CLASS PARTY,0,0,0,0,1
Allegany,06,01B,022-000,DEMOCRATIC,86,44,87,11,506
Allegany,06,01B,022-000,GREEN,0,0,1,0,4
Allegany,06,01B,022-000,LIBERTARIAN,4,0,0,0,14
Allegany,06,01B,022-000,OTHER PARTIES,1,4,0,0,21
Allegany,06,01B,022-000,REPUBLICAN,241,85,60,14,774
Allegany,06,01B,022-000,UNAFFILIATED,60,13,25,8,375
Allegany,06,01B,022-000,WORKING CLASS PARTY,0,0,1,0,4
Allegany,06,01B,023-000,DEMOCRATIC,147,36,93,4,619
Allegany,06,01B,023-000,GREEN,1,0,2,0,7
Allegany,06,01B,023-000,LIBERTARIAN,2,0,2,0,11
Allegany,06,01B,023-000,OTHER PARTIES,3,0,0,0,15
Allegany,06,01B,023-000,REPUBLICAN,325,41,38,7,766
Allegany,06,01B,023-000,UNAFFILIATED,80,15,13,1,410
Allegany,06,01B,023-000,WORKING CLASS PARTY,2,0,0,0,7
Allegany,06,01B,024-000,DEMOCRATIC,69,15,51,2,261
Allegany,06,01B,024-000,GREEN,0,0,0,0,6
Allegany,06,01B,024-000,LIBERTARIAN,3,0,1,0,7
Allegany,06,01B,024-000,OTHER PARTIES,5,0,1,0,14
Allegany,06,01B,024-000,REPUBLICAN,355,42,44,2,756
Allegany,06,01B,024-000,UNAFFILIATED,43,4,13,5,196
Allegany,06,01B,024-000,WORKING CLASS PARTY,0,0,0,0,0
Allegany,06,01A,026-000,DEMOCRATIC,221,43,143,73,698
Allegany,06,01A,026-000,GREEN,2,0,1,0,4
Allegany,06,01A,026-000,LIBERTARIAN,4,0,0,1,17
Allegany,06,01A,026-000,OTHER PARTIES,5,3,0,1,17
Allegany,06,01A,026-000,REPUBLICAN,321,42,91,29,816
Allegany,06,01A,026-000,UNAFFILIATED,64,12,37,23,407
Allegany,06,01A,026-000,WORKING CLASS PARTY,0,0,0,0,4
Allegany,06,01B,029-001,DEMOCRATIC,166,31,81,1,480
Allegany,06,01B,029-001,GREEN,0,0,0,1,2
Allegany,06,01B,029-001,LIBERTARIAN,2,0,0,1,6
Allegany,06,01B,029-001,OTHER PARTIES,4,0,0,0,13
Allegany,06,01B,029-001,REPUBLICAN,464,62,72,7,938
Allegany,06,01B,029-001,UNAFFILIATED,82,20,30,4,324
Allegany,06,01B,029-001,WORKING CLASS PARTY,1,0,1,0,3
Allegany,06,01B,029-002,DEMOCRATIC,144,24,85,7,440
Allegany,06,01B,029-002,GREEN,0,0,0,0,0
Allegany,06,01B,029-002,LIBERTARIAN,3,0,0,0,5
Allegany,06,01B,029-002,OTHER PARTIES,2,0,0,0,8
Allegany,06,01B,029-002,REPUBLICAN,392,77,69,3,820
Allegany,06,01B,029-002,UNAFFILIATED,68,13,18,0,252
Allegany,06,01B,029-002,WORKING CLASS PARTY,1,0,0,0,1
Allegany,06,01B,029-003,DEMOCRATIC,102,27,66,4,346
Allegany,06,01B,029-003,GREEN,0,0,0,0,2
Allegany,06,01B,029-003,LIBERTARIAN,0,0,2,0,13
Allegany,06,01B,029-003,OTHER PARTIES,2,0,0,0,5
Allegany,06,01B,029-003,REPUBLICAN,282,57,47,2,641
Allegany,06,01B,029-003,UNAFFILIATED,48,6,14,0,196
Allegany,06,01B,029-003,WORKING CLASS PARTY,0,0,0,0,0
Allegany,06,01A,031-000,DEMOCRATIC,70,10,30,5,225
Allegany,06,01A,031-000,GREEN,0,0,0,0,0
Allegany,06,01A,031-000,LIBERTARIAN,0,1,1,0,2
Allegany,06,01A,031-000,OTHER PARTIES,3,0,0,0,7
Allegany,06,01A,031-000,REPUBLICAN,327,22,26,5,655
Allegany,06,01A,031-000,UNAFFILIATED,47,3,10,0,189
Allegany,06,01A,031-000,WORKING CLASS PARTY,1,0,0,0,3
Allegany,06,01B,034-000,DEMOCRATIC,117,21,51,1,325
Allegany,06,01B,034-000,GREEN,0,0,0,0,2
Allegany,06,01B,034-000,LIBERTARIAN,1,0,0,0,6
Allegany,06,01B,034-000,OTHER PARTIES,3,0,0,0,8
Allegany,06,01B,034-000,REPUBLICAN,333,52,44,4,700
Allegany,06,01B,034-000,UNAFFILIATED,58,6,16,0,223
Allegany,06,01B,034-000,WORKING CLASS PARTY,0,0,1,0,2
Allegany,,,Unable to Determine,DEMOCRATIC,0,0,0,1,
Allegany,,,Unable to Determine,GREEN,0,0,0,0,
Allegany,,,Unable to Determine,LIBERTARIAN,0,0,0,0,
Allegany,,,Unable to Determine,OTHER PARTIES,0,0,0,0,
Allegany,,,Unable to Determine,REPUBLICAN,0,0,0,0,
Allegany,,,Unable to Determine,UNAFFILIATED,0,0,0,2,
Allegany,,,Unable to Determine,WORKING CLASS PARTY,0,0,0,0,
Anne Arundel,03,32,001-001,DEMOCRATIC,208,58,121,9,647
Anne Arundel,03,32,001-001,GREEN,0,0,1,0,2
Anne Arundel,03,32,001-001,LIBERTARIAN,3,1,1,0,9
Anne Arundel,03,32,001-001,OTHER PARTIES,6,1,3,0,18
Anne Arundel,03,32,001-001,REPUBLICAN,314,67,52,9,659
Anne Arundel,03,32,001-001,UNAFFILIATED,112,17,25,9,372
Anne Arundel,03,32,001-001,WORKING CLASS PARTY,0,0,0,0,1
Anne Arundel,03,32,001-002,DEMOCRATIC,244,42,128,22,793
Anne Arundel,03,32,001-002,GREEN,0,0,0,0,2
Anne Arundel,03,32,001-002,LIBERTARIAN,5,0,0,0,12
Anne Arundel,03,32,001-002,OTHER PARTIES,1,0,1,1,14
Anne Arundel,03,32,001-002,REPUBLICAN,286,67,52,8,677
Anne Arundel,03,32,001-002,UNAFFILIATED,138,13,34,10,458
Anne Arundel,03,32,001-002,WORKING CLASS PARTY,0,0,0,0,0
Anne Arundel,03,32,001-003,DEMOCRATIC,178,55,133,25,823
Anne Arundel,03,32,001-003,GREEN,0,0,0,0,1
Anne Arundel,03,32,001-003,LIBERTARIAN,1,1,0,1,10
Anne Arundel,03,32,001-003,OTHER PARTIES,2,1,1,0,14
Anne Arundel,03,32,001-003,REPUBLICAN,263,69,58,18,735
Anne Arundel,03,32,001-003,UNAFFILIATED,79,14,37,12,483
Anne Arundel,03,32,001-003,WORKING CLASS PARTY,1,0,1,0,3
Anne Arundel,03,12B,001-004,DEMOCRATIC,245,86,152,15,1066
Anne Arundel,03,12B,001-004,GREEN,0,0,0,0,1
Anne Arundel,03,12B,001-004,LIBERTARIAN,1,0,0,1,7
Anne Arundel,03,12B,001-004,OTHER PARTIES,4,0,4,0,18
Anne Arundel,03,12B,001-004,REPUBLICAN,143,44,40,7,477
Anne Arundel,03,12B,001-004,UNAFFILIATED,68,14,32,4,413
Anne Arundel,03,12B,001-004,WORKING CLASS PARTY,0,0,1,0,3
Anne Arundel,03,32,001-005,DEMOCRATIC,480,273,420,43,2141
Anne Arundel,03,32,001-005,GREEN,0,2,1,0,6
Anne Arundel,03,32,001-005,LIBERTARIAN,2,0,1,1,20
Anne Arundel,03,32,001-005,OTHER PARTIES,7,2,0,0,31
Anne Arundel,03,32,001-005,REPUBLICAN,277,114,117,7,912
Anne Arundel,03,32,001-005,UNAFFILIATED,185,71,126,14,989
Anne Arundel,03,32,001-005,WORKING CLASS PARTY,0,0,1,0,2
Anne Arundel,03,32,001-006,DEMOCRATIC,296,170,268,21,1496
Anne Arundel,03,32,001-006,GREEN,0,0,0,0,4
Anne Arundel,03,32,001-006,LIBERTARIAN,1,1,0,0,11
Anne Arundel,03,32,001-006,OTHER PARTIES,0,0,2,0,12
Anne Arundel,03,32,001-006,REPUBLICAN,98,51,52,1,453
Anne Arundel,03,32,001-006,UNAFFILIATED,117,37,65,5,657
Anne Arundel,03,32,001-006,WORKING CLASS PARTY,0,0,1,0,5
Anne Arundel,03,12B,001-007,DEMOCRATIC,144,30,90,7,537
Anne Arundel,03,12B,001-007,GREEN,1,0,0,0,2
Anne Arundel,03,12B,001-007,LIBERTARIAN,4,0,0,0,13
Anne Arundel,03,12B,001-007,OTHER PARTIES,4,1,0,0,13
Anne Arundel,03,12B,001-007,REPUBLICAN,237,38,37,4,585
Anne Arundel,03,12B,001-007,UNAFFILIATED,81,18,28,0,395
Anne Arundel,03,12B,001-007,WORKING CLASS PARTY,1,0,0,0,5
Anne Arundel,03,32,001-008,DEMOCRATIC,180,77,120,3,830
Anne Arundel,03,32,001-008,GREEN,0,0,0,0,4
Anne Arundel,03,32,001-008,LIBERTARIAN,3,1,1,0,13
Anne Arundel,03,32,001-008,OTHER PARTIES,5,0,0,0,16
Anne Arundel,03,32,001-008,REPUBLICAN,321,67,56,2,784
Anne Arundel,03,32,001-008,UNAFFILIATED,121,20,35,2,516
Anne Arundel,03,32,001-008,WORKING CLASS PARTY,0,0,0,0,2
Anne Arundel,03,32,001-009,DEMOCRATIC,177,52,104,7,685
Anne Arundel,03,32,001-009,GREEN,0,0,0,0,2
Anne Arundel,03,32,001-009,LIBERTARIAN,4,1,0,0,14
Anne Arundel,03,32,001-009,OTHER PARTIES,1,0,0,1,13
Anne Arundel,03,32,001-009,REPUBLICAN,313,79,46,5,707
Anne Arundel,03,32,001-009,UNAFFILIATED,100,26,33,4,456
Anne Arundel,03,32,001-009,WORKING CLASS PARTY,0,0,1,0,3
Anne Arundel,03,32,001-010,DEMOCRATIC,183,39,115,6,529
Anne Arundel,03,32,001-010,GREEN,0,0,0,0,1
Anne Arundel,03,32,001-010,LIBERTARIAN,3,0,1,0,8
Anne Arundel,03,32,001-010,OTHER PARTIES,1,2,0,1,7
Anne Arundel,03,32,001-010,REPUBLICAN,232,55,34,6,502
Anne Arundel,03,32,001-010,UNAFFILIATED,98,15,26,4,289
Anne Arundel,03,32,001-010,WORKING CLASS PARTY,0,0,0,0,3
Anne Arundel,03,32,001-011,DEMOCRATIC,130,28,79,8,401
Anne Arundel,03,32,001-011,GREEN,3,1,0,0,4
Anne Arundel,03,32,001-011,LIBERTARIAN,1,0,0,0,2
Anne Arundel,03,32,001-011,OTHER PARTIES,2,0,0,0,7
Anne Arundel,03,32,001-011,REPUBLICAN,235,37,27,13,467
Anne Arundel,03,32,001-011,UNAFFILIATED,79,14,24,6,257
Anne Arundel,03,32,001-011,WORKING CLASS PARTY,0,0,0,0,1
Anne Arundel,03,12B,001-012,DEMOCRATIC,329,94,135,17,1795
Anne Arundel,03,12B,001-012,GREEN,1,0,1,0,4
Anne Arundel,03,12B,001-012,LIBERTARIAN,2,0,3,0,18
Anne Arundel,03,12B,001-012,OTHER PARTIES,2,1,2,0,38
Anne Arundel,03,12B,001-012,REPUBLICAN,101,29,30,5,434
Anne Arundel,03,12B,001-012,UNAFFILIATED,73,22,37,8,675
Anne Arundel,03,12B,001-012,WORKING CLASS PARTY,1,0,0,0,6
Anne Arundel,03,12B,001-013,DEMOCRATIC,102,16,32,5,529
Anne Arundel,03,12B,001-013,GREEN,0,0,0,0,6
Anne Arundel,03,12B,001-013,LIBERTARIAN,3,1,0,0,8
Anne Arundel,03,12B,001-013,OTHER PARTIES,2,0,0,0,19
Anne Arundel,03,12B,001-013,REPUBLICAN,86,10,11,3,284
Anne Arundel,03,12B,001-013,UNAFFILIATED,49,5,5,0,313
Anne Arundel,03,12B,001-013,WORKING CLASS PARTY,0,0,0,0,4
Anne Arundel,03,32,001-014,DEMOCRATIC,174,54,147,12,777
Anne Arundel,03,32,001-014,GREEN,2,0,1,0,6
Anne Arundel,03,32,001-014,LIBERTARIAN,4,2,1,0,11
Anne Arundel,03,32,001-014,OTHER PARTIES,1,2,1,0,21
Anne Arundel,03,32,001-014,REPUBLICAN,225,72,35,3,646
Anne Arundel,03,32,001-014,UNAFFILIATED,79,14,35,3,400
Anne Arundel,03,32,001-014,WORKING CLASS PARTY,0,0,0,0,0
Anne Arundel,03,12B,001-015,DEMOCRATIC,237,47,110,18,905
Anne Arundel,03,12B,001-015,GREEN,0,0,1,0,5
Anne Arundel,03,12B,001-015,LIBERTARIAN,1,0,2,0,11
Anne Arundel,03,12B,001-015,OTHER PARTIES,1,4,1,0,15
Anne Arundel,03,12B,001-015,REPUBLICAN,225,54,43,5,574
Anne Arundel,03,12B,001-015,UNAFFILIATED,93,21,33,3,454
Anne Arundel,03,12B,001-015,WORKING CLASS PARTY,0,1,0,1,5
Anne Arundel,03,12B,001-016,DEMOCRATIC,199,32,75,2,892
Anne Arundel,03,12B,001-016,GREEN,0,0,0,0,3
Anne Arundel,03,12B,001-016,LIBERTARIAN,1,0,1,0,11
Anne Arundel,03,12B,001-016,OTHER PARTIES,3,0,0,0,23
Anne Arundel,03,12B,001-016,REPUBLICAN,190,41,15,4,544
Anne Arundel,03,12B,001-016,UNAFFILIATED,70,13,23,1,475
Anne Arundel,03,12B,001-016,WORKING CLASS PARTY,1,0,0,0,8
Anne Arundel,03,12B,001-017,DEMOCRATIC,155,43,84,7,775
Anne Arundel,03,12B,001-017,GREEN,2,0,0,0,7
Anne Arundel,03,12B,001-017,LIBERTARIAN,5,0,0,0,14
Anne Arundel,03,12B,001-017,OTHER PARTIES,3,1,1,0,19
Anne Arundel,03,12B,001-017,REPUBLICAN,121,15,18,2,387
Anne Arundel,03,12B,001-017,UNAFFILIATED,69,4,16,3,412
Anne Arundel,03,12B,001-017,WORKING CLASS PARTY,2,0,0,0,6
Anne Arundel,03,12B,001-018,DEMOCRATIC,286,157,223,9,1497
Anne Arundel,03,12B,001-018,GREEN,0,1,0,0,2
Anne Arundel,03,12B,001-018,LIBERTARIAN,3,0,2,0,9
Anne Arundel,03,12B,001-018,OTHER PARTIES,4,1,1,0,31
Anne Arundel,03,12B,001-018,REPUBLICAN,166,69,38,3,641
Anne Arundel,03,12B,001-018,UNAFFILIATED,72,23,51,5,599
Anne Arundel,03,12B,001-018,WORKING CLASS PARTY,0,0,1,0,5
Anne Arundel,03,32,001-019,DEMOCRATIC,297,145,222,34,1288
Anne Arundel,03,32,001-019,GREEN,1,1,0,0,4
Anne Arundel,03,32,001-019,LIBERTARIAN,1,0,0,1,5
Anne Arundel,03,32,001-019,OTHER PARTIES,1,1,1,0,17
Anne Arundel,03,32,001-019,REPUBLICAN,128,41,64,3,404
Anne Arundel,03,32,001-019,UNAFFILIATED,103,33,89,14,602
Anne Arundel,03,32,001-019,WORKING CLASS PARTY,0,0,0,0,6
Anne Arundel,03,32,001-020,DEMOCRATIC,366,190,209,14,1765
